Site ID,Parent Site ID,Site Name,Short Name,Type,Latitude,Longitude,Start_Date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,geolocation
M133,M133,"Melton Rd_Buckland Rd, Nundah","Melton Rd_Buckland Rd, Nundah",Manual,-27.404002,153.064623,2022,,,,,,,,,,,,,,,,,,,1,,,,"-27.404002, 153.064623"
M135,M135,"Norris Rd_Telegraph Rd, Bracken Ridge","Norris Rd_Telegraph Rd, Bracken Ridge",Manual,-27.311222,153.028979,2022,,,,,,,,,,,,,,,,,,,1,,1,,"-27.311222, 153.028979"
M136,M136,"Birdwood Rd, Holland Park West","Birdwood Rd, Holland Park West",Manual,-27.523882,153.054271,2022,,,,,,,,,,,,,,,,,,,1,1,1,,"-27.523882, 153.054271"
M137,M137,"Ashgrove Ave_Enoggera Rd, Newmarket","Ashgrove Ave_Enoggera Rd, Newmarket",Manual,-27.438271,153.007239,2022,,,,,,,,,,,,,,,,,,,1,1,1,,"-27.438271, 153.007239"
M138,M138,"Greenslopes Busway Station_Veloway, Greenslopes","Greenslopes Busway Station_Veloway, Greenslopes",Manual,-27.510946,153.040529,2022,,,,,,,,,,,,,,,,,,,1,1,,,"-27.510946, 153.040529"
M139,M139,"Poinsettia St_Hydrangea St, Inala","Poinsettia St_Hydrangea St, Inala",Manual,-27.596624,152.968927,2022,,,,,,,,,,,,,,,,,,,1,,1,,"-27.596624, 152.968927"
M140,M140,"Inala Ave_Blunder Rd, Inala","Inala Ave_Blunder Rd, Inala",Manual,-27.596486,152.987278,2022,,,,,,,,,,,,,,,,,,,1,,1,,"-27.596486, 152.987278"
M146,M146,"Honour Ave, Verney Rd W, Graceville","Honour Ave, Verney Rd W, Graceville",Manual,-27.52024,152.975425,2022,,,,,,,,,,,,,,,,,,,1,1,1,,"-27.52024, 152.975425"
M147,M147,"Persse Rd_Nemies Rd, Runcorn","Persse Rd_Nemies Rd, Runcorn",Manual,-27.605901,153.079806,2022,,,,,,,,,,,,,,,,,,,1,,1,,"-27.605901, 153.079806"
M149,M149,"Albany Creek Rd, Aspley","Albany Ck Rd, Aspley",Manual,-27.363285,153.011688,2022,,,,,,,,,,,,,,,,,,,,,1,1.0,"-27.363285, 153.011688"
M151,M151,"Rainbow St_Curlew St, Sandgate","Rainbow St_Curlew St, Sandgate",Manual,-27.32220725,153.0737413,2024,,,,,,,,,,,,,,,,,,,,,1,1.0,"-27.32220725, 153.0737413"
M152,M152,"Annerly Rd_Gladstone Rd, Dutton Park","Annerly Rd_Gladstone Rd, Dutton Park",Manual,-27.49753486,153.0273366,2024,,,,,,,,,,,,,,,,,,,,,1,1.0,"-27.49753486, 153.0273366"
M153,M153,"Wickham St_Brookes St, Fortitude Valley","Wickham St_Brookes St, Fortitude Valley",Manual,-27.45342251,153.0378326,2024,,,,,,,,,,,,,,,,,,,,,1,1.0,"-27.45342251, 153.0378326"
M154,M154,"Glen Rd, Toowong","Glen Rd, Toowong",Manual,-27.48824105,152.9935152,2024,,,,,,,,,,,,,,,,,,,,,1,1.0,"-27.48824105, 152.9935152"
M162,M162,"Annerley Rd_Young St, Annerley","Annerley Rd_Young St, Annerley",Manual,-27.5027,153.0309,2024,,,,,,,,,,,,,,,,,,,,,1,1.0,"-27.5027, 153.0309"
M163,M163,"Downfall Creek Bikeway_Toombul Rd, Virginia","Downfall Ck Bikeway_Toombul Rd, Virginia",Manual,-27.3803,153.0638,2024,,,,,,,,,,,,,,,,,,,,,1,,"-27.3803, 153.0638"
