Date,Max_Temp,Min_Temp,Rainfall,Max_Wind,Sunshine_Duration
2023-02-21,28.6,19.8,0.7,17.9,32315.68
2023-02-22,28.5,18.8,0.9,23.1,43303.19
2023-02-23,27.5,19.2,1.1,21.5,36903.61
2023-02-24,26.4,18.7,6.3,22.7,41190.02
2023-02-25,27.5,17.4,1.2,13.4,43200.0
2023-02-26,28.6,17.0,1.0,13.8,43200.0
2023-02-27,30.0,18.5,0.0,16.1,43200.0
2023-02-28,30.4,19.5,0.0,14.9,43200.0
2023-03-01,31.5,19.6,1.5,17.4,43200.0
2023-03-02,28.4,21.4,2.6,15.3,40964.32
2023-03-03,29.2,20.1,1.0,20.8,43200.0
2023-03-04,28.9,17.8,0.0,21.1,43200.0
2023-03-05,29.1,17.3,0.1,13.9,43200.0
2023-03-06,29.7,18.6,0.1,18.8,43200.0
2023-03-07,32.2,18.5,0.0,19.7,41886.46
2023-03-08,31.2,21.9,0.0,13.4,3436.26
2023-03-09,29.9,21.7,3.7,14.0,0.0
2023-03-10,29.4,21.2,10.7,13.3,8146.02
2023-03-11,26.5,21.7,33.0,11.0,7964.55
2023-03-12,30.6,21.8,12.8,11.8,31149.79
2023-03-13,29.1,21.5,5.6,11.9,42398.43
2023-03-14,30.3,20.2,0.7,12.7,43200.0
2023-03-15,30.8,19.8,1.4,13.2,43200.0
2023-03-16,33.6,21.0,0.7,12.9,43200.0
2023-03-17,35.6,22.5,0.0,15.5,40929.54
2023-03-18,31.5,23.0,0.6,13.6,43089.01
2023-03-19,30.7,22.6,0.5,14.5,42640.89
2023-03-20,31.1,19.8,0.1,16.3,42959.04
2023-03-21,29.2,21.2,0.7,21.8,37971.34
2023-03-22,24.9,21.0,6.1,15.8,4188.5
2023-03-23,28.3,19.4,0.0,13.4,42759.81
2023-03-24,30.8,17.6,0.5,16.0,42468.37
2023-03-25,29.3,19.0,8.6,11.8,35640.65
2023-03-26,28.0,19.1,20.5,10.9,38957.06
2023-03-27,29.6,19.7,0.6,12.7,42489.12
2023-03-28,31.2,20.1,0.3,11.7,36474.9
2023-03-29,26.0,22.0,2.9,10.5,2352.62
2023-03-30,30.1,19.6,6.2,18.7,28005.13
2023-03-31,28.4,15.4,0.0,12.1,42169.99
2023-04-01,24.7,17.8,0.0,10.0,6392.94
2023-04-02,26.9,15.2,0.2,13.7,41994.08
2023-04-03,26.9,16.2,1.0,16.5,41403.71
2023-04-04,26.7,17.3,8.5,13.2,41800.82
2023-04-05,29.0,16.6,0.1,14.2,41705.05
2023-04-06,26.1,16.7,0.2,12.4,34347.06
2023-04-07,24.5,17.1,2.9,20.3,22255.96
2023-04-08,27.3,18.4,0.0,28.7,41421.88
2023-04-09,26.5,16.9,0.0,25.7,41328.26
2023-04-10,25.8,14.5,0.0,20.1,37957.83
2023-04-11,27.0,12.7,0.0,16.2,41140.94
2023-04-12,27.8,12.9,0.0,15.3,37046.63
2023-04-13,27.9,15.4,0.0,26.3,40649.04
2023-04-14,27.3,13.9,0.0,11.8,39595.38
2023-04-15,25.4,14.2,0.9,13.3,39860.52
2023-04-16,29.5,15.9,0.0,19.1,39073.95
2023-04-17,29.3,18.5,0.2,22.1,39332.01
2023-04-18,27.3,16.7,0.0,19.4,38657.94
2023-04-19,26.3,16.6,0.0,16.0,39330.84
2023-04-20,27.4,15.2,0.0,19.1,38946.42
2023-04-21,25.3,16.5,1.7,21.0,38914.27
2023-04-22,25.7,16.8,0.0,23.9,38882.02
2023-04-23,26.9,15.4,0.0,23.8,38849.67
2023-04-24,25.3,17.1,2.4,26.9,38096.81
2023-04-25,24.1,17.1,2.3,22.2,36733.18
2023-04-26,22.7,15.8,1.5,17.8,34000.49
2023-04-27,24.5,15.9,1.3,14.9,37893.19
2023-04-28,24.7,15.8,0.4,12.1,38686.09
2023-04-29,24.1,14.3,0.5,10.9,16428.71
2023-04-30,26.0,16.3,8.9,14.0,36000.0
2023-05-01,23.8,12.7,0.0,17.9,38585.97
2023-05-02,24.3,12.5,0.0,13.8,38552.16
2023-05-03,26.0,13.3,0.0,11.4,38518.18
2023-05-04,26.1,12.7,0.1,16.6,38484.06
2023-05-05,23.6,13.6,0.3,11.8,38350.45
2023-05-06,25.3,12.5,0.0,12.5,38415.48
